Start Date,1/1/2020
End Date,12/31/2023
CURRENCY,GBP
,HSBA LN Equity
,last_price
Dates,PX_LAST
1/1/2020,5.919
2/1/2020,5.951
3/1/2020,5.944
6/1/2020,5.852
7/1/2020,5.834
8/1/2020,5.813
9/1/2020,5.881
10/1/2020,5.846
13/01/2020,5.908
14/01/2020,5.904
15/01/2020,5.898
16/01/2020,5.909
17/01/2020,5.94
20/01/2020,5.924
21/01/2020,5.856
22/01/2020,5.812
23/01/2020,5.73
24/01/2020,5.794
27/01/2020,5.591
28/01/2020,5.677
29/01/2020,5.663
30/01/2020,5.63
31/01/2020,5.518
3/2/2020,5.557
4/2/2020,5.637
5/2/2020,5.69
6/2/2020,5.735
7/2/2020,5.813
10/2/2020,5.783
11/2/2020,5.914
12/2/2020,5.954
13/02/2020,5.899
14/02/2020,5.845
17/02/2020,5.907
18/02/2020,5.519
19/02/2020,5.59
20/02/2020,5.597
21/02/2020,5.622
24/02/2020,5.508
25/02/2020,5.397
26/02/2020,5.55
27/02/2020,5.293
28/02/2020,5.239
2/3/2020,5.201
3/3/2020,5.098
4/3/2020,5.122
5/3/2020,5.064
6/3/2020,4.938
9/3/2020,4.7
10/3/2020,4.785
11/3/2020,4.855
12/3/2020,4.446
13/03/2020,4.659
16/03/2020,4.644
17/03/2020,4.946
18/03/2020,4.91
19/03/2020,5
20/03/2020,5
23/03/2020,4.9
24/03/2020,5.15
25/03/2020,5.099
26/03/2020,4.979
27/03/2020,4.666
30/03/2020,4.627
31/03/2020,4.543
1/4/2020,4.11
2/4/2020,3.978
3/4/2020,3.972
6/4/2020,4.147
7/4/2020,4.196
8/4/2020,4.204
9/4/2020,4.289
10/4/2020,4.289
13/04/2020,4.289
14/04/2020,4.275
15/04/2020,4.081
16/04/2020,4.056
17/04/2020,4.144
20/04/2020,4.18
21/04/2020,3.993
22/04/2020,4.056
23/04/2020,4.103
24/04/2020,4.021
27/04/2020,4.163
28/04/2020,4.206
29/04/2020,4.285
30/04/2020,4.1
1/5/2020,4.024
4/5/2020,3.956
5/5/2020,4.012
6/5/2020,4.02
7/5/2020,4.127
8/5/2020,4.127
11/5/2020,4.11
12/5/2020,4.105
13/05/2020,4.046
14/05/2020,3.985
15/05/2020,3.997
18/05/2020,4.147
19/05/2020,4.115
20/05/2020,4.128
21/05/2020,3.989
22/05/2020,3.79
25/05/2020,3.79
26/05/2020,3.876
27/05/2020,3.966
28/05/2020,3.844
29/05/2020,3.701
1/6/2020,3.804
2/6/2020,3.848
3/6/2020,4.018
4/6/2020,3.994
5/6/2020,4.23
8/6/2020,4.208
9/6/2020,4.055
10/6/2020,4.006
11/6/2020,3.763
12/6/2020,3.804
15/06/2020,3.762
16/06/2020,3.838
17/06/2020,3.821
18/06/2020,3.816
19/06/2020,3.914
22/06/2020,3.814
23/06/2020,3.876
24/06/2020,3.808
25/06/2020,3.844
26/06/2020,3.803
29/06/2020,3.848
30/06/2020,3.786
1/7/2020,3.723
2/7/2020,3.891
3/7/2020,3.835
6/7/2020,4.087
7/7/2020,3.952
8/7/2020,3.836
9/7/2020,3.733
10/7/2020,3.778
13/07/2020,3.808
14/07/2020,3.838
15/07/2020,3.861
16/07/2020,3.856
17/07/2020,3.796
20/07/2020,3.743
21/07/2020,3.81
22/07/2020,3.705
23/07/2020,3.671
24/07/2020,3.649
27/07/2020,3.531
28/07/2020,3.533
29/07/2020,3.623
30/07/2020,3.471
31/07/2020,3.422
3/8/2020,3.323
4/8/2020,3.367
5/8/2020,3.335
6/8/2020,3.25
7/8/2020,3.256
10/8/2020,3.31
11/8/2020,3.46
12/8/2020,3.571
13/08/2020,3.438
14/08/2020,3.413
17/08/2020,3.387
18/08/2020,3.324
19/08/2020,3.356
20/08/2020,3.29
21/08/2020,3.282
24/08/2020,3.38
25/08/2020,3.348
26/08/2020,3.316
27/08/2020,3.281
28/08/2020,3.302
31/08/2020,3.302
1/9/2020,3.17
2/9/2020,3.205
3/9/2020,3.173
4/9/2020,3.198
7/9/2020,3.231
8/9/2020,3.213
9/9/2020,3.277
10/9/2020,3.246
11/9/2020,3.229
14/09/2020,3.221
15/09/2020,3.228
16/09/2020,3.17
17/09/2020,3.108
18/09/2020,3.04
21/09/2020,2.88
22/09/2020,2.871
23/09/2020,2.903
24/09/2020,2.867
25/09/2020,2.834
28/09/2020,3.086
29/09/2020,2.985
30/09/2020,3.015
1/10/2020,3.046
2/10/2020,3.082
5/10/2020,3.094
6/10/2020,3.143
7/10/2020,3.154
8/10/2020,3.141
9/10/2020,3.094
12/10/2020,3.082
13/10/2020,3.052
14/10/2020,2.966
15/10/2020,2.993
16/10/2020,3.064
19/10/2020,3.093
20/10/2020,3.086
21/10/2020,3.024
22/10/2020,3.069
23/10/2020,3.214
26/10/2020,3.194
27/10/2020,3.301
28/10/2020,3.19
29/10/2020,3.24
30/10/2020,3.246
2/11/2020,3.327
3/11/2020,3.469
4/11/2020,3.325
5/11/2020,3.362
6/11/2020,3.378
9/11/2020,3.74
10/11/2020,3.74
11/11/2020,3.876
12/11/2020,3.725
13/11/2020,3.727
16/11/2020,3.888
17/11/2020,3.766
18/11/2020,3.848
19/11/2020,3.839
20/11/2020,3.809
23/11/2020,3.84
24/11/2020,3.996
25/11/2020,3.983
26/11/2020,3.979
27/11/2020,4.049
30/11/2020,3.883
1/12/2020,4.061
2/12/2020,4.184
3/12/2020,4.214
4/12/2020,4.227
7/12/2020,4.116
8/12/2020,4.004
9/12/2020,4.03
10/12/2020,4.031
11/12/2020,4.006
14/12/2020,4.034
15/12/2020,4.026
16/12/2020,3.97
17/12/2020,3.948
18/12/2020,3.878
21/12/2020,3.811
22/12/2020,3.838
23/12/2020,3.858
24/12/2020,3.86
25/12/2020,3.86
28/12/2020,3.86
29/12/2020,3.836
30/12/2020,3.83
31/12/2020,3.789
1/1/2021,3.789
4/1/2021,3.804
5/1/2021,3.786
6/1/2021,4.162
7/1/2021,4.171
8/1/2021,4.118
11/1/2021,4.082
12/1/2021,4.128
13/01/2021,4.031
14/01/2021,4.082
15/01/2021,4.032
18/01/2021,4.03
19/01/2021,4.115
20/01/2021,4.08
21/01/2021,4.136
22/01/2021,4.074
25/01/2021,3.981
26/01/2021,4.002
27/01/2021,4.002
28/01/2021,3.954
29/01/2021,3.828
1/2/2021,3.837
2/2/2021,3.915
3/2/2021,3.886
4/2/2021,3.96
5/2/2021,3.925
8/2/2021,3.904
9/2/2021,3.95
10/2/2021,3.987
11/2/2021,3.974
12/2/2021,4.018
15/02/2021,4.105
16/02/2021,4.278
17/02/2021,4.323
18/02/2021,4.192
19/02/2021,4.24
22/02/2021,4.317
23/02/2021,4.28
24/02/2021,4.293
25/02/2021,4.352
26/02/2021,4.262
1/3/2021,4.201
2/3/2021,4.238
3/3/2021,4.329
4/3/2021,4.265
5/3/2021,4.376
8/3/2021,4.555
9/3/2021,4.474
10/3/2021,4.461
11/3/2021,4.251
12/3/2021,4.284
15/03/2021,4.24
16/03/2021,4.228
17/03/2021,4.306
18/03/2021,4.416
19/03/2021,4.309
22/03/2021,4.25
23/03/2021,4.244
24/03/2021,4.237
25/03/2021,4.214
26/03/2021,4.227
29/03/2021,4.181
30/03/2021,4.307
31/03/2021,4.232
1/4/2021,4.232
2/4/2021,4.232
5/4/2021,4.232
6/4/2021,4.269
7/4/2021,4.34
8/4/2021,4.4
9/4/2021,4.374
12/4/2021,4.326
13/04/2021,4.269
14/04/2021,4.289
15/04/2021,4.212
16/04/2021,4.275
19/04/2021,4.281
20/04/2021,4.173
21/04/2021,4.159
22/04/2021,4.155
23/04/2021,4.19
26/04/2021,4.228
27/04/2021,4.404
28/04/2021,4.434
29/04/2021,4.543
30/04/2021,4.528
3/5/2021,4.528
4/5/2021,4.412
5/5/2021,4.544
6/5/2021,4.552
7/5/2021,4.512
10/5/2021,4.544
11/5/2021,4.4
12/5/2021,4.439
13/05/2021,4.438
14/05/2021,4.488
17/05/2021,4.434
18/05/2021,4.467
19/05/2021,4.433
20/05/2021,4.46
21/05/2021,4.445
24/05/2021,4.466
25/05/2021,4.5
26/05/2021,4.469
27/05/2021,4.502
28/05/2021,4.553
31/05/2021,4.553
1/6/2021,4.463
2/6/2021,4.517
3/6/2021,4.493
4/6/2021,4.44
7/6/2021,4.455
8/6/2021,4.443
9/6/2021,4.381
10/6/2021,4.361
11/6/2021,4.369
14/06/2021,4.395
15/06/2021,4.361
16/06/2021,4.381
17/06/2021,4.394
18/06/2021,4.294
21/06/2021,4.266
22/06/2021,4.238
23/06/2021,4.209
24/06/2021,4.246
25/06/2021,4.276
28/06/2021,4.204
29/06/2021,4.213
30/06/2021,4.173
1/7/2021,4.234
2/7/2021,4.167
5/7/2021,4.231
6/7/2021,4.165
7/7/2021,4.18
8/7/2021,4.106
9/7/2021,4.141
12/7/2021,4.129
13/07/2021,4.122
14/07/2021,4.111
15/07/2021,4.088
16/07/2021,4.032
19/07/2021,3.918
20/07/2021,3.958
21/07/2021,4.019
22/07/2021,4.007
23/07/2021,4.016
26/07/2021,4.029
27/07/2021,4.033
28/07/2021,3.966
29/07/2021,4.01
30/07/2021,3.975
2/8/2021,3.961
3/8/2021,3.981
4/8/2021,4.004
5/8/2021,4.029
6/8/2021,4.099
9/8/2021,4.108
10/8/2021,4.1
11/8/2021,4.127
12/8/2021,4.1
13/08/2021,4.115
16/08/2021,4.052
17/08/2021,4.059
18/08/2021,4.055
19/08/2021,3.941
20/08/2021,3.961
23/08/2021,3.953
24/08/2021,3.904
25/08/2021,3.988
26/08/2021,3.955
27/08/2021,3.95
30/08/2021,3.95
31/08/2021,3.862
1/9/2021,3.868
2/9/2021,3.873
3/9/2021,3.845
6/9/2021,3.873
7/9/2021,3.825
8/9/2021,3.806
9/9/2021,3.765
10/9/2021,3.754
13/09/2021,3.804
14/09/2021,3.729
15/09/2021,3.725
16/09/2021,3.689
17/09/2021,3.761
20/09/2021,3.617
21/09/2021,3.598
22/09/2021,3.754
23/09/2021,3.769
24/09/2021,3.754
27/09/2021,3.859
28/09/2021,3.854
29/09/2021,3.935
30/09/2021,3.901
1/10/2021,3.887
4/10/2021,3.842
5/10/2021,3.93
6/10/2021,4.063
7/10/2021,4.161
8/10/2021,4.196
11/10/2021,4.308
12/10/2021,4.29
13/10/2021,4.246
14/10/2021,4.26
15/10/2021,4.342
18/10/2021,4.328
19/10/2021,4.321
20/10/2021,4.333
21/10/2021,4.348
22/10/2021,4.348
25/10/2021,4.431
26/10/2021,4.472
27/10/2021,4.447
28/10/2021,4.404
29/10/2021,4.415
1/11/2021,4.465
2/11/2021,4.446
3/11/2021,4.445
4/11/2021,4.335
5/11/2021,4.373
8/11/2021,4.342
9/11/2021,4.297
10/11/2021,4.313
11/11/2021,4.336
12/11/2021,4.342
15/11/2021,4.367
16/11/2021,4.4
17/11/2021,4.396
18/11/2021,4.39
19/11/2021,4.317
22/11/2021,4.369
23/11/2021,4.43
24/11/2021,4.434
25/11/2021,4.438
26/11/2021,4.141
29/11/2021,4.165
30/11/2021,4.194
1/12/2021,4.292
2/12/2021,4.316
3/12/2021,4.297
6/12/2021,4.373
7/12/2021,4.435
8/12/2021,4.403
9/12/2021,4.405
10/12/2021,4.387
13/12/2021,4.313
14/12/2021,4.347
15/12/2021,4.323
16/12/2021,4.483
17/12/2021,4.454
20/12/2021,4.418
21/12/2021,4.452
22/12/2021,4.446
23/12/2021,4.479
24/12/2021,4.477
27/12/2021,4.477
28/12/2021,4.477
29/12/2021,4.494
30/12/2021,4.486
31/12/2021,4.486
3/1/2022,4.486
4/1/2022,4.715
5/1/2022,4.683
6/1/2022,4.783
7/1/2022,4.823
10/1/2022,4.92
11/1/2022,4.95
12/1/2022,5.012
13/01/2022,5.13
14/01/2022,5.166
17/01/2022,5.19
18/01/2022,5.16
19/01/2022,5.125
20/01/2022,5.103
21/01/2022,5.054
24/01/2022,4.922
25/01/2022,5.094
26/01/2022,5.227
27/01/2022,5.383
28/01/2022,5.283
31/01/2022,5.276
1/2/2022,5.435
2/2/2022,5.464
3/2/2022,5.463
4/2/2022,5.45
7/2/2022,5.569
8/2/2022,5.635
9/2/2022,5.608
10/2/2022,5.617
11/2/2022,5.672
14/02/2022,5.582
15/02/2022,5.548
16/02/2022,5.483
17/02/2022,5.401
18/02/2022,5.444
21/02/2022,5.468
22/02/2022,5.47
23/02/2022,5.478
24/02/2022,5.137
25/02/2022,5.38
28/02/2022,5.146
1/3/2022,4.954
2/3/2022,5.078
3/3/2022,4.954
4/3/2022,4.677
7/3/2022,4.661
8/3/2022,4.704
9/3/2022,4.89
10/3/2022,4.755
11/3/2022,4.797
14/03/2022,4.895
15/03/2022,4.797
16/03/2022,4.944
17/03/2022,5.006
18/03/2022,5.01
21/03/2022,5.008
22/03/2022,5.166
23/03/2022,5.097
24/03/2022,5.176
25/03/2022,5.168
28/03/2022,5.187
29/03/2022,5.27
30/03/2022,5.266
31/03/2022,5.254
1/4/2022,5.289
4/4/2022,5.251
5/4/2022,5.277
6/4/2022,5.242
7/4/2022,5.214
8/4/2022,5.3
11/4/2022,5.333
12/4/2022,5.193
13/04/2022,5.182
14/04/2022,5.224
15/04/2022,5.224
18/04/2022,5.224
19/04/2022,5.256
20/04/2022,5.38
21/04/2022,5.369
22/04/2022,5.233
25/04/2022,5.016
26/04/2022,4.739
27/04/2022,4.863
28/04/2022,4.941
29/04/2022,5.013
2/5/2022,5.013
3/5/2022,5.128
4/5/2022,5.154
5/5/2022,5.08
6/5/2022,5.02
9/5/2022,4.927
10/5/2022,4.957
11/5/2022,4.994
12/5/2022,4.834
13/05/2022,5.014
16/05/2022,4.986
17/05/2022,5.024
18/05/2022,4.955
19/05/2022,4.859
20/05/2022,4.908
23/05/2022,5.01
24/05/2022,5.189
25/05/2022,5.213
26/05/2022,5.253
27/05/2022,5.324
30/05/2022,5.286
31/05/2022,5.33
1/6/2022,5.296
2/6/2022,5.296
3/6/2022,5.296
6/6/2022,5.335
7/6/2022,5.293
8/6/2022,5.202
9/6/2022,5.118
10/6/2022,4.991
13/06/2022,5.029
14/06/2022,5.204
15/06/2022,5.306
16/06/2022,5.116
17/06/2022,5.087
20/06/2022,5.375
21/06/2022,5.388
22/06/2022,5.336
23/06/2022,5.266
24/06/2022,5.373
27/06/2022,5.386
28/06/2022,5.458
29/06/2022,5.521
30/06/2022,5.356
1/7/2022,5.344
4/7/2022,5.397
5/7/2022,5.231
6/7/2022,5.187
7/7/2022,5.356
8/7/2022,5.258
11/7/2022,5.277
12/7/2022,5.298
13/07/2022,5.272
14/07/2022,5.124
15/07/2022,5.139
18/07/2022,5.198
19/07/2022,5.234
20/07/2022,5.178
21/07/2022,5.234
22/07/2022,5.152
25/07/2022,5.265
26/07/2022,5.245
27/07/2022,5.242
28/07/2022,5.134
29/07/2022,5.137
1/8/2022,5.452
2/8/2022,5.344
3/8/2022,5.434
4/8/2022,5.408
5/8/2022,5.419
8/8/2022,5.455
9/8/2022,5.535
10/8/2022,5.45
11/8/2022,5.489
12/8/2022,5.505
15/08/2022,5.47
16/08/2022,5.498
17/08/2022,5.451
18/08/2022,5.407
19/08/2022,5.368
22/08/2022,5.382
23/08/2022,5.313
24/08/2022,5.212
25/08/2022,5.225
26/08/2022,5.23
29/08/2022,5.23
30/08/2022,5.295
31/08/2022,5.288
1/9/2022,5.208
2/9/2022,5.349
5/9/2022,5.368
6/9/2022,5.337
7/9/2022,5.23
8/9/2022,5.255
9/9/2022,5.25
12/9/2022,5.36
13/09/2022,5.296
14/09/2022,5.189
15/09/2022,5.297
16/09/2022,5.296
19/09/2022,5.296
20/09/2022,5.341
21/09/2022,5.249
22/09/2022,5.15
23/09/2022,5.1
26/09/2022,5.016
27/09/2022,4.957
28/09/2022,4.835
29/09/2022,4.67
30/09/2022,4.673
3/10/2022,4.614
4/10/2022,4.82
5/10/2022,4.724
6/10/2022,4.713
7/10/2022,4.67
10/10/2022,4.628
11/10/2022,4.545
12/10/2022,4.491
13/10/2022,4.593
14/10/2022,4.588
17/10/2022,4.713
18/10/2022,4.658
19/10/2022,4.74
20/10/2022,4.729
21/10/2022,4.779
24/10/2022,4.751
25/10/2022,4.427
26/10/2022,4.44
27/10/2022,4.502
28/10/2022,4.422
31/10/2022,4.473
1/11/2022,4.586
2/11/2022,4.568
3/11/2022,4.632
4/11/2022,4.9
7/11/2022,4.794
8/11/2022,4.787
9/11/2022,4.767
10/11/2022,4.741
11/11/2022,4.702
14/11/2022,4.803
15/11/2022,4.8
16/11/2022,4.755
17/11/2022,4.812
18/11/2022,4.789
21/11/2022,4.835
22/11/2022,4.869
23/11/2022,4.892
24/11/2022,4.895
25/11/2022,4.92
28/11/2022,4.886
29/11/2022,5.103
30/11/2022,5.097
1/12/2022,4.979
2/12/2022,4.985
5/12/2022,5
6/12/2022,4.986
7/12/2022,4.939
8/12/2022,4.953
9/12/2022,4.962
12/12/2022,4.964
13/12/2022,5.001
14/12/2022,4.977
15/12/2022,4.927
16/12/2022,4.923
19/12/2022,4.958
20/12/2022,5.028
21/12/2022,5.113
22/12/2022,5.123
23/12/2022,5.103
26/12/2022,5.103
27/12/2022,5.103
28/12/2022,5.18
29/12/2022,5.188
30/12/2022,5.157
2/1/2023,5.157
3/1/2023,5.299
4/1/2023,5.435
5/1/2023,5.653
6/1/2023,5.686
9/1/2023,5.632
10/1/2023,5.641
11/1/2023,5.696
12/1/2023,5.818
13/01/2023,5.912
16/01/2023,5.961
17/01/2023,5.912
18/01/2023,5.907
19/01/2023,5.855
20/01/2023,5.926
23/01/2023,5.921
24/01/2023,5.948
25/01/2023,5.985
26/01/2023,6.039
27/01/2023,6.005
30/01/2023,6.02
31/01/2023,5.964
1/2/2023,6.013
2/2/2023,5.91
3/2/2023,5.967
6/2/2023,5.96
7/2/2023,6.05
8/2/2023,6.124
9/2/2023,6.158
10/2/2023,6.106
13/02/2023,6.137
14/02/2023,6.092
15/02/2023,6.123
16/02/2023,6.184
17/02/2023,6.211
20/02/2023,6.207
21/02/2023,6.475
22/02/2023,6.361
23/02/2023,6.301
24/02/2023,6.357
27/02/2023,6.318
28/02/2023,6.356
1/3/2023,6.403
2/3/2023,6.19
3/3/2023,6.183
6/3/2023,6.178
7/3/2023,6.243
8/3/2023,6.307
9/3/2023,6.211
10/3/2023,5.926
13/03/2023,5.681
14/03/2023,5.77
15/03/2023,5.484
16/03/2023,5.581
17/03/2023,5.421
20/03/2023,5.417
21/03/2023,5.54
22/03/2023,5.646
23/03/2023,5.482
24/03/2023,5.34
27/03/2023,5.411
28/03/2023,5.411
29/03/2023,5.54
30/03/2023,5.553
31/03/2023,5.497
3/4/2023,5.564
4/4/2023,5.512
5/4/2023,5.542
6/4/2023,5.629
7/4/2023,5.629
10/4/2023,5.629
11/4/2023,5.624
12/4/2023,5.616
13/04/2023,5.673
14/04/2023,5.843
17/04/2023,5.781
18/04/2023,5.746
19/04/2023,5.734
20/04/2023,5.751
21/04/2023,5.737
24/04/2023,5.733
25/04/2023,5.663
26/04/2023,5.717
27/04/2023,5.754
28/04/2023,5.738
1/5/2023,5.738
2/5/2023,5.939
3/5/2023,5.932
4/5/2023,5.84
5/5/2023,5.998
8/5/2023,5.998
9/5/2023,5.993
10/5/2023,6.011
11/5/2023,5.936
12/5/2023,5.997
15/05/2023,6.11
16/05/2023,6.057
17/05/2023,6.03
18/05/2023,6.129
19/05/2023,6.108
22/05/2023,6.172
23/05/2023,6.178
24/05/2023,6.002
25/05/2023,6.064
26/05/2023,6.108
29/05/2023,6.108
30/05/2023,6.001
31/05/2023,5.905
1/6/2023,5.938
2/6/2023,6.027
5/6/2023,6.061
6/6/2023,6.108
7/6/2023,6.161
8/6/2023,6.11
9/6/2023,6.075
12/6/2023,6.053
13/06/2023,6.096
14/06/2023,6.108
15/06/2023,6.094
16/06/2023,6.118
19/06/2023,6.15
20/06/2023,6.152
21/06/2023,6.181
22/06/2023,6.067
23/06/2023,6.022
26/06/2023,6.041
27/06/2023,6.103
28/06/2023,6.133
29/06/2023,6.188
30/06/2023,6.217
3/7/2023,6.276
4/7/2023,6.247
5/7/2023,6.219
6/7/2023,6.104
7/7/2023,6.099
10/7/2023,6.069
11/7/2023,6.009
12/7/2023,6.158
13/07/2023,6.142
14/07/2023,6.131
17/07/2023,6.179
18/07/2023,6.237
19/07/2023,6.288
20/07/2023,6.4
21/07/2023,6.42
24/07/2023,6.427
25/07/2023,6.443
26/07/2023,6.441
27/07/2023,6.423
28/07/2023,6.468
31/07/2023,6.463
1/8/2023,6.549
2/8/2023,6.369
3/8/2023,6.392
4/8/2023,6.364
7/8/2023,6.441
8/8/2023,6.346
9/8/2023,6.36
10/8/2023,6.32
11/8/2023,6.248
14/08/2023,6.215
15/08/2023,6.003
16/08/2023,5.898
17/08/2023,5.924
18/08/2023,5.839
21/08/2023,5.833
22/08/2023,5.806
23/08/2023,5.848
24/08/2023,5.891
25/08/2023,5.878
28/08/2023,5.878
29/08/2023,5.957
30/08/2023,5.907
31/08/2023,5.831
1/9/2023,5.883
4/9/2023,5.858
5/9/2023,5.875
6/9/2023,5.853
7/9/2023,5.847
8/9/2023,5.844
11/9/2023,5.9
12/9/2023,5.973
13/09/2023,6.11
14/09/2023,6.269
15/09/2023,6.293
18/09/2023,6.23
19/09/2023,6.307
20/09/2023,6.334
21/09/2023,6.361
22/09/2023,6.431
25/09/2023,6.386
26/09/2023,6.392
27/09/2023,6.399
28/09/2023,6.449
29/09/2023,6.449
2/10/2023,6.398
3/10/2023,6.452
4/10/2023,6.405
5/10/2023,6.445
6/10/2023,6.547
9/10/2023,6.45
10/10/2023,6.578
11/10/2023,6.59
12/10/2023,6.579
13/10/2023,6.526
16/10/2023,6.513
17/10/2023,6.53
18/10/2023,6.503
19/10/2023,6.412
20/10/2023,6.159
23/10/2023,6.125
24/10/2023,6.128
25/10/2023,6.151
26/10/2023,6.091
27/10/2023,6.01
30/10/2023,5.873
31/10/2023,5.923
1/11/2023,5.901
2/11/2023,6.013
3/11/2023,6.022
6/11/2023,6.093
7/11/2023,6.083
8/11/2023,6.073
9/11/2023,6.031
10/11/2023,5.992
13/11/2023,6.079
14/11/2023,6.049
15/11/2023,6.17
16/11/2023,6.088
17/11/2023,6.154
20/11/2023,6.162
21/11/2023,6.133
22/11/2023,6.067
23/11/2023,6.117
24/11/2023,6.095
27/11/2023,6.074
28/11/2023,6.072
29/11/2023,5.948
30/11/2023,6.021
1/12/2023,6.041
4/12/2023,6.041
5/12/2023,6.034
6/12/2023,6.147
7/12/2023,6.124
8/12/2023,6.192
11/12/2023,6.164
12/12/2023,6.188
13/12/2023,6.172
14/12/2023,6.163
15/12/2023,6.09
18/12/2023,6.128
19/12/2023,6.131
20/12/2023,6.194
21/12/2023,6.225
22/12/2023,6.278
25/12/2023,6.278
26/12/2023,6.278
27/12/2023,6.315
28/12/2023,6.316
29/12/2023,6.355
